conscientiousness,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0
0.9,high,high,good,good,fair,low,low,low,low,low
0.8,high,high,high,good,good,fair,low,low,low,low
0.7,good,high,high,high,good,fair,fair,low,low,low
0.6,fair,good,high,high,high,good,fair,fair,low,low
0.5,low,fair,good,high,high,high,good,fair,fair,low
0.4,low,fair,fair,good,high,high,high,good,fair,low
0.3,low,low,fair,fair,good,high,high,high,good,fair
0.2,low,low,low,fair,fair,good,high,high,high,good
0.1,low,low,low,low,fair,fair,good,high,high,high
0,low,low,low,low,low,fair,good,good,high,high