extroversion,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0
0.9,high,high,high,good,good,good,fair,fair,low,low
0.8,high,high,high,high,good,good,good,fair,fair,low
0.7,high,high,high,high,high,good,good,good,fair,fair
0.6,good,high,high,high,high,high,good,good,good,fair
0.5,good,good,high,high,high,high,high,good,good,good
0.4,good,good,good,high,high,high,high,high,good,good
0.3,fair,good,good,good,high,high,high,high,high,good
0.2,fair,fair,good,good,good,high,high,high,high,high
0.1,low,fair,fair,good,good,good,high,high,high,high
0,low,low,fair,fair,good,good,good,high,high,high