neuroticism,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0
0.9,low,fair,high,good,fair,fair,low,low,low,low
0.8,fair,fair,good,high,good,fair,fair,low,low,low
0.7,high,good,good,good,high,good,fair,fair,low,low
0.6,good,high,good,good,good,high,good,fair,fair,low
0.5,fair,good,high,good,good,good,high,good,fair,fair
0.4,fair,fair,good,high,good,good,good,high,good,fair
0.3,low,fair,fair,good,high,good,good,good,high,good
0.2,low,low,fair,fair,good,high,good,good,good,high
0.1,low,low,low,fair,fair,good,high,good,fair,fair
0,low,low,low,low,fair,fair,good,high,fair,low